21,883,2016/07/17,2,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0
20,498,2016/03/25,4,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0
1,722,2016/06/01,4,Fusce consequat. Nulla nisl. Nunc nisl.,1
5,487,2016/05/04,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1
89,749,2016/05/14,3,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",0
58,831,2016/11/11,5,Integer ac neque. Duis bibendum.,1
38,229,2016/09/16,3,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0
21,235,2016/10/05,4,Proin risus.,0
83,912,2016/12/06,5,Nulla facilisi.,1
89,195,2016/12/30,3,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1
83,548,2017/03/06,3,In quis justo.,1
34,989,2017/02/25,3,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,0
82,111,2016/04/16,2,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,0
9,95,2016/06/15,1,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",0
41,330,2016/10/28,4,In congue. Etiam justo.,0
55,217,2016/09/20,5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1
41,784,2016/12/02,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0
39,923,2017/01/26,3,Nulla tempus.,0
76,677,2017/01/20,4,Pellentesque eget nunc.,0
36,965,2016/03/15,5,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",0
38,599,2016/03/31,2,Nulla mollis molestie lorem. Quisque ut erat.,0
69,381,2016/11/16,2,Aenean sit amet justo.,1
22,866,2017/01/28,1,Nulla ac enim.,0
90,29,2016/04/20,4,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",0
87,464,2016/03/18,3,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",1
76,544,2016/05/20,3,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1
64,589,2016/05/25,5,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,1
81,589,2017/01/29,4,In blandit ultrices enim.,0
15,651,2016/12/29,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",0
54,78,2016/04/08,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1
77,217,2016/09/06,4,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0
27,828,2017/01/22,3,Nulla facilisi.,1
82,691,2017/01/28,3,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1
56,548,2016/07/16,1,Donec posuere metus vitae ipsum.,0
67,719,2016/09/14,4,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1
74,375,2016/04/06,4,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",1
8,47,2016/03/11,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",0
93,530,2017/01/29,5,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1
20,915,2016/03/11,4,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",1
14,161,2016/06/02,2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1
41,871,2016/10/21,1,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1
87,493,2016/08/30,3,Nullam molestie nibh in lectus.,1
9,387,2016/09/21,1,Morbi a ipsum.,1
69,874,2016/06/14,3,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,0
16,276,2016/12/23,4,Duis mattis egestas metus. Aenean fermentum.,0
82,116,2016/04/23,1,Etiam vel augue. Vestibulum rutrum rutrum neque.,0
9,393,2016/05/14,3,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0
